55 33
player 7 28
墙 29 0
墙 29 1
墙 29 2
墙 29 3
墙 29 4
墙 29 5
墙 29 6
墙 29 7
墙 29 8
墙 29 9
墙 29 10
墙 29 11
墙 29 12
墙 29 13
墙 29 14
墙 29 15
墙 29 16
墙 29 17
开 13 18 0
墙 29 18
墙 29 19
墙 29 20
墙 29 21
墙 29 22
墙 29 23
墙 29 24
墙 29 25
墙 29 26
墙 29 27
门 29 28 0
终 50 28
门 29 29 0
门 29 30 0
门 29 31 0
地 0 32
地 1 32
地 2 32
地 3 32
地 4 32
地 5 32
地 6 32
地 7 32
地 8 32
地 9 32
地 10 32
地 11 32
地 12 32
地 13 32
地 14 32
地 15 32
地 16 32
地 17 32
地 18 32
地 19 32
地 20 32
地 21 32
地 22 32
地 23 32
地 24 32
地 25 32
地 26 32
地 27 32
地 28 32
地 29 32
地 30 32
地 31 32
地 32 32
地 33 32
地 34 32
地 35 32
地 36 32
地 37 32
地 38 32
地 39 32
地 40 32
地 41 32
地 42 32
地 43 32
地 44 32
地 45 32
地 46 32
地 47 32
地 48 32
地 49 32
地 50 32
地 51 32
地 52 32
地 53 32
地 54 32
